,class,parameter,data_type,default_value,url
9,sklearn.linear_model.ARDRegression,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
10,sklearn.linear_model.ARDRegression,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
11,sklearn.linear_model.ARDRegression,verbose,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
0,sklearn.linear_model.BayesianRidge,n_iter,int,300,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
0,sklearn.linear_model.BayesianRidge,n_iter,int,300,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
1,sklearn.linear_model.BayesianRidge,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
1,sklearn.linear_model.BayesianRidge,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
2,sklearn.linear_model.BayesianRidge,alpha_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
2,sklearn.linear_model.BayesianRidge,alpha_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
3,sklearn.linear_model.BayesianRidge,alpha_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
3,sklearn.linear_model.BayesianRidge,alpha_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
4,sklearn.linear_model.BayesianRidge,lambda_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
4,sklearn.linear_model.BayesianRidge,lambda_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
5,sklearn.linear_model.BayesianRidge,lambda_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
5,sklearn.linear_model.BayesianRidge,lambda_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
6,sklearn.linear_model.BayesianRidge,compute_score,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
6,sklearn.linear_model.BayesianRidge,compute_score,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
7,sklearn.linear_model.BayesianRidge,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
7,sklearn.linear_model.BayesianRidge,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
8,sklearn.linear_model.BayesianRidge,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
8,sklearn.linear_model.BayesianRidge,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
9,sklearn.linear_model.BayesianRidge,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
